"No.","Time","Delta","Source","Source MAC","SRC Port","Destination","Dst MAC","DST Port","Protocol","Length","Info"
"464","2022-11-15 16:18:03.371783","0.000000","ArubaaHe_2f:7e:4c","20:4c:03:2f:7e:4c","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 10.31.0.217? Tell 10.31.0.1"
"465","2022-11-15 16:18:03.371783","0.000000","7a:81:72:cf:a5:bf","7a:81:72:cf:a5:bf","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","56","Gratuitous ARP for 10.31.0.81 (Request)"
"466","2022-11-15 16:18:03.371783","0.000000","7a:81:72:cf:a5:bf","7a:81:72:cf:a5:bf","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","56","Gratuitous ARP for 10.31.0.81 (Request)"
"467","2022-11-15 16:18:03.371783","0.000000","7a:81:72:cf:a5:bf","7a:81:72:cf:a5:bf","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","56","Gratuitous ARP for 10.31.0.81 (Request)"
"468","2022-11-15 16:18:03.371783","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.199? Tell 12.227.228.129"
"469","2022-11-15 16:18:03.498145","0.126362","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57337","TCP","97","[TCP Retransmission] 443  >  57337 [PSH, ACK] Seq=1 Ack=1 Win=16384 Len=43"
"470","2022-11-15 16:18:03.522923","0.024778","52.96.179.226","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57334","TCP","97","[TCP Retransmission] 443  >  57334 [PSH, ACK] Seq=1 Ack=1 Win=16385 Len=43"
"471","2022-11-15 16:18:03.575971","0.053048","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.254? Tell 12.227.228.129"
"472","2022-11-15 16:18:03.632794","0.056823","52.96.179.226","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57335","TCP","97","[TCP Retransmission] 443  >  57335 [PSH, ACK] Seq=1 Ack=1 Win=16385 Len=43"
"473","2022-11-15 16:18:03.646236","0.013442","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57339","TCP","97","[TCP Retransmission] 443  >  57339 [PSH, ACK] Seq=1 Ack=1 Win=16385 Len=43"
"474","2022-11-15 16:18:03.651922","0.005686","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57331","TCP","97","[TCP Retransmission] 443  >  57331 [PSH, ACK] Seq=1 Ack=1 Win=16384 Len=43"
"475","2022-11-15 16:18:03.683636","0.031714","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.196? Tell 12.227.228.129"
"476","2022-11-15 16:18:03.781684","0.098048","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.201? Tell 12.227.228.129"
"477","2022-11-15 16:18:03.781684","0.000000","10.31.1.69","d4:57:63:ce:9d:c6","55894","239.255.255.250","01:00:5e:7f:ff:fa","1900","SSDP","211","M-SEARCH * HTTP/1.1 "
"478","2022-11-15 16:18:03.781684","0.000000","10.31.1.69","d4:57:63:ce:9d:c6","58517","239.255.255.250","01:00:5e:7f:ff:fa","1900","SSDP","218","M-SEARCH * HTTP/1.1 "
"479","2022-11-15 16:18:03.810721","0.029037","40.97.188.242","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57337","TCP","97","[TCP Retransmission] 443  >  57337 [PSH, ACK] Seq=1 Ack=1 Win=16384 Len=43"
